Flight ID,Flight Number,Date,Route ID,Origin,Destination,Aircraft Type,Scheduled Departure,Actual Departure,Scheduled Arrival,Actual Arrival,Departure Delay Minutes,Flight Status,Passengers,Capacity,Load Factor,Day of Week,Month,Departure Hour,Peak Period,On-Time Flag,Route,Origin City,Origin Region,Destination City,Destination Region,Origin Airport Name,Origin Country,Destination Airport Name,Destination Country,Aircraft Name,Aircraft Age,Aircraft Category,Year,Month Number,Month Name,Year Month,Quarter,Day,Day of Week Number,Weekend Flag,Operated Flag,Cancelled Flag,On Time Flight Flag
FLT-20250901-011,AI0113,2025-09-01,11,BOM,BLR,A330-300,2025-09-01 10:15:00,2025-09-01 10:28:00,2025-09-01 13:36:00,2025-09-01 13:54:00,13.0,Operated,205,300,0.6833,Monday,2025-09,10,Peak,1.0,BOM-BLR,Mumbai,West,Bengaluru,South,Chhatrapati Shivaji Maharaj International,India,Kempegowda International,India,Airbus A330-300,12,Wide-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-012,AI0244,2025-09-01,24,BLR,PNQ,B737-800,2025-09-01 11:35:00,2025-09-01 11:43:00,2025-09-01 14:25:00,2025-09-01 14:34:00,8.0,Operated,142,174,0.8161,Monday,2025-09,11,Off-Peak,1.0,BLR-PNQ,Bengaluru,South,Pune,West,Kempegowda International,India,Pune International,India,Boeing 737-800,10,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-013,AI0535,2025-09-01,53,MAA,IXM,E190-E2,2025-09-01 19:00:00,2025-09-01 19:18:00,2025-09-01 21:33:00,2025-09-01 21:54:00,18.0,Operated,96,114,0.8421,Monday,2025-09,19,Peak,0.0,MAA-IXM,Chennai,South,Madurai,South,Chennai International,India,Madurai International,India,Embraer E190-E2,2,Regional,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,0
FLT-20250901-014,AI0366,2025-09-01,36,HYD,BOM,B737 MAX 8,2025-09-01 05:15:00,2025-09-01 05:34:00,2025-09-01 07:32:00,2025-09-01 07:53:00,19.0,Operated,126,189,0.6667,Monday,2025-09,5,Off-Peak,0.0,HYD-BOM,Hyderabad,South,Mumbai,West,Rajiv Gandhi International,India,Chhatrapati Shivaji Maharaj International,India,Boeing 737 MAX 8,3,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,0
FLT-20250901-015,AI0407,2025-09-01,40,CCU,BOM,E190-E2,2025-09-01 20:50:00,2025-09-01 21:04:00,2025-09-01 23:13:00,2025-09-01 23:35:00,14.0,Operated,104,114,0.9123,Monday,2025-09,20,Peak,1.0,CCU-BOM,Kolkata,East,Mumbai,West,Netaji Subhas Chandra Bose International,India,Chhatrapati Shivaji Maharaj International,India,Embraer E190-E2,2,Regional,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-016,AI0248,2025-09-01,24,BLR,PNQ,A330-300,2025-09-01 19:30:00,2025-09-01 19:24:00,2025-09-01 22:47:00,2025-09-01 23:25:00,0.0,Operated,236,300,0.7867,Monday,2025-09,19,Peak,1.0,BLR-PNQ,Bengaluru,South,Pune,West,Kempegowda International,India,Pune International,India,Airbus A330-300,12,Wide-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-017,AI0031,2025-09-01,3,DEL,MAA,B737-800,2025-09-01 15:25:00,2025-09-01 15:38:00,2025-09-01 18:10:00,2025-09-01 18:23:00,13.0,Operated,122,174,0.7011,Monday,2025-09,15,Off-Peak,1.0,DEL-MAA,Delhi,North,Chennai,South,Indira Gandhi International,India,Chennai International,India,Boeing 737-800,10,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-018,AI0222,2025-09-01,22,BLR,COK,B737 MAX 8,2025-09-01 23:45:00,2025-09-02 00:17:00,2025-09-02 01:41:00,2025-09-02 02:29:00,32.0,Operated,135,189,0.7143,Monday,2025-09,23,Off-Peak,0.0,BLR-COK,Bengaluru,South,Kochi,South,Kempegowda International,India,Cochin International,India,Boeing 737 MAX 8,3,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,0
FLT-20250901-019,AI0533,2025-09-01,53,MAA,IXM,B737 MAX 8,2025-09-01 20:05:00,2025-09-01 20:39:00,2025-09-01 22:52:00,2025-09-01 23:36:00,34.0,Operated,171,189,0.9048,Monday,2025-09,20,Peak,0.0,MAA-IXM,Chennai,South,Madurai,South,Chennai International,India,Madurai International,India,Boeing 737 MAX 8,3,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,0
FLT-20250901-020,AI0024,2025-09-01,2,DEL,BLR,A320-200,2025-09-01 19:20:00,2025-09-01 19:34:00,2025-09-01 22:38:00,2025-09-01 22:54:00,14.0,Operated,154,180,0.8556,Monday,2025-09,19,Peak,1.0,DEL-BLR,Delhi,North,Bengaluru,South,Indira Gandhi International,India,Kempegowda International,India,Airbus A320-200,8,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-021,AI0245,2025-09-01,24,BLR,PNQ,B737-800,2025-09-01 20:35:00,2025-09-01 20:58:00,2025-09-02 00:15:00,2025-09-02 00:37:00,23.0,Operated,144,174,0.8276,Monday,2025-09,20,Peak,0.0,BLR-PNQ,Bengaluru,South,Pune,West,Kempegowda International,India,Pune International,India,Boeing 737-800,10,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,0
FLT-20250901-022,AI0446,2025-09-01,44,COK,MAA,A320neo,2025-09-01 18:55:00,2025-09-01 19:01:00,2025-09-01 20:43:00,2025-09-01 20:43:00,6.0,Operated,130,186,0.6989,Monday,2025-09,18,Peak,1.0,COK-MAA,Kochi,South,Chennai,South,Cochin International,India,Chennai International,India,Airbus A320neo,5,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-023,AI0307,2025-09-01,30,MAA,DEL,B737-800,2025-09-01 17:05:00,2025-09-01 17:01:00,2025-09-01 19:58:00,2025-09-01 20:20:00,0.0,Operated,158,174,0.908,Monday,2025-09,17,Peak,1.0,MAA-DEL,Chennai,South,Delhi,North,Chennai International,India,Indira Gandhi International,India,Boeing 737-800,10,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-024,AI0388,2025-09-01,38,CCU,BBS,B737 MAX 8,2025-09-01 16:20:00,2025-09-01 16:28:00,2025-09-01 19:39:00,2025-09-01 19:39:00,8.0,Operated,131,189,0.6931,Monday,2025-09,16,Off-Peak,1.0,CCU-BBS,Kolkata,East,Bhubaneswar,East,Netaji Subhas Chandra Bose International,India,Biju Patnaik International,India,Boeing 737 MAX 8,3,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-025,AI0021,2025-09-01,2,DEL,BLR,A320-200,2025-09-01 23:40:00,2025-09-01 23:49:00,2025-09-02 02:34:00,2025-09-02 02:44:00,9.0,Operated,114,180,0.6333,Monday,2025-09,23,Off-Peak,1.0,DEL-BLR,Delhi,North,Bengaluru,South,Indira Gandhi International,India,Kempegowda International,India,Airbus A320-200,8,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-026,AI0212,2025-09-01,21,BLR,HYD,ATR72-600,2025-09-01 14:20:00,2025-09-01 14:58:00,2025-09-01 16:55:00,2025-09-01 17:45:00,38.0,Operated,53,72,0.7361,Monday,2025-09,14,Off-Peak,0.0,BLR-HYD,Bengaluru,South,Hyderabad,South,Kempegowda International,India,Rajiv Gandhi International,India,ATR 72-600,6,Regional,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,0
FLT-20250901-027,AI0333,2025-09-01,33,HYD,COK,ATR72-600,2025-09-01 10:20:00,2025-09-01 10:35:00,2025-09-01 13:19:00,2025-09-01 13:19:00,15.0,Operated,54,72,0.75,Monday,2025-09,10,Peak,1.0,HYD-COK,Hyderabad,South,Kochi,South,Rajiv Gandhi International,India,Cochin International,India,ATR 72-600,6,Regional,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-028,AI0124,2025-09-01,12,BOM,MAA,A320neo,2025-09-01 11:10:00,2025-09-01 11:17:00,2025-09-01 13:44:00,2025-09-01 13:57:00,7.0,Operated,135,186,0.7258,Monday,2025-09,11,Off-Peak,1.0,BOM-MAA,Mumbai,West,Chennai,South,Chhatrapati Shivaji Maharaj International,India,Chennai International,India,Airbus A320neo,5,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-029,AI0225,2025-09-01,22,BLR,COK,A320-200,2025-09-01 10:00:00,2025-09-01 10:22:00,2025-09-01 13:13:00,2025-09-01 13:55:00,22.0,Operated,148,180,0.8222,Monday,2025-09,10,Peak,0.0,BLR-COK,Bengaluru,South,Kochi,South,Kempegowda International,India,Cochin International,India,Airbus A320-200,8,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,0
FLT-20250901-030,AI0446,2025-09-01,44,COK,MAA,A320neo,2025-09-01 07:20:00,2025-09-01 07:33:00,2025-09-01 09:14:00,2025-09-01 09:27:00,13.0,Operated,123,186,0.6613,Monday,2025-09,7,Peak,1.0,COK-MAA,Kochi,South,Chennai,South,Cochin International,India,Chennai International,India,Airbus A320neo,5,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-031,AI0257,2025-09-01,25,BLR,CCU,A320neo,2025-09-01 13:20:00,2025-09-01 13:46:00,2025-09-01 16:53:00,2025-09-01 17:26:00,26.0,Operated,173,186,0.9301,Monday,2025-09,13,Off-Peak,0.0,BLR-CCU,Bengaluru,South,Kolkata,East,Kempegowda International,India,Netaji Subhas Chandra Bose International,India,Airbus A320neo,5,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,0
FLT-20250901-032,AI0498,2025-09-01,49,DEL,VNS,B737 MAX 8,2025-09-01 17:05:00,2025-09-01 17:22:00,2025-09-01 18:43:00,2025-09-01 18:53:00,17.0,Operated,153,189,0.8095,Monday,2025-09,17,Peak,0.0,DEL-VNS,Delhi,North,Varanasi,North,Indira Gandhi International,India,Lal Bahadur Shastri International,India,Boeing 737 MAX 8,3,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,0
FLT-20250901-033,AI0271,2025-09-01,27,MAA,HYD,A320neo,2025-09-01 20:00:00,2025-09-01 20:15:00,2025-09-01 22:32:00,2025-09-01 22:46:00,15.0,Operated,115,186,0.6183,Monday,2025-09,20,Peak,1.0,MAA-HYD,Chennai,South,Hyderabad,South,Chennai International,India,Rajiv Gandhi International,India,Airbus A320neo,5,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-034,AI0422,2025-09-01,42,COK,GOI,B737 MAX 8,2025-09-01 05:15:00,2025-09-01 05:21:00,2025-09-01 08:00:00,2025-09-01 08:28:00,6.0,Operated,169,189,0.8942,Monday,2025-09,5,Off-Peak,1.0,COK-GOI,Kochi,South,Goa,West,Cochin International,India,Manohar International,India,Boeing 737 MAX 8,3,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-035,AI0283,2025-09-01,28,MAA,COK,E190-E2,2025-09-01 06:05:00,2025-09-01 06:25:00,2025-09-01 09:07:00,2025-09-01 09:42:00,20.0,Operated,73,114,0.6404,Monday,2025-09,6,Off-Peak,0.0,MAA-COK,Chennai,South,Kochi,South,Chennai International,India,Cochin International,India,Embraer E190-E2,2,Regional,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,0
FLT-20250901-036,AI0164,2025-09-01,16,BOM,GOI,A330-300,2025-09-01 14:15:00,2025-09-01 14:26:00,2025-09-01 16:50:00,2025-09-01 17:12:00,11.0,Operated,249,300,0.83,Monday,2025-09,14,Off-Peak,1.0,BOM-GOI,Mumbai,West,Goa,West,Chhatrapati Shivaji Maharaj International,India,Manohar International,India,Airbus A330-300,12,Wide-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-037,AI0155,2025-09-01,15,BOM,COK,A321neo,2025-09-01 20:50:00,2025-09-01 20:45:00,2025-09-01 22:07:00,2025-09-01 22:17:00,0.0,Operated,154,220,0.7,Monday,2025-09,20,Peak,1.0,BOM-COK,Mumbai,West,Kochi,South,Chhatrapati Shivaji Maharaj International,India,Cochin International,India,Airbus A321neo,4,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-038,AI0476,2025-09-01,47,PNQ,BLR,A320-200,2025-09-01 09:00:00,2025-09-01 09:07:00,2025-09-01 12:28:00,2025-09-01 12:34:00,7.0,Operated,118,180,0.6556,Monday,2025-09,9,Peak,1.0,PNQ-BLR,Pune,West,Bengaluru,South,Pune International,India,Kempegowda International,India,Airbus A320-200,8,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-039,AI0517,2025-09-01,51,DEL,PAT,A320-200,2025-09-01 05:15:00,2025-09-01 05:23:00,2025-09-01 06:57:00,2025-09-01 07:01:00,8.0,Operated,101,180,0.5611,Monday,2025-09,5,Off-Peak,1.0,DEL-PAT,Delhi,North,Patna,East,Indira Gandhi International,India,Jay Prakash Narayan International,India,Airbus A320-200,8,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-040,AI0448,2025-09-01,44,COK,MAA,ATR72-600,2025-09-01 07:30:00,2025-09-01 07:43:00,2025-09-01 11:00:00,2025-09-01 11:01:00,13.0,Operated,58,72,0.8056,Monday,2025-09,7,Peak,1.0,COK-MAA,Kochi,South,Chennai,South,Cochin International,India,Chennai International,India,ATR 72-600,6,Regional,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-041,AI0551,2025-09-01,55,BOM,NAG,ATR72-600,2025-09-01 21:40:00,2025-09-01 22:11:00,2025-09-01 23:11:00,2025-09-01 23:56:00,31.0,Operated,60,72,0.8333,Monday,2025-09,21,Peak,0.0,BOM-NAG,Mumbai,West,Nagpur,Central,Chhatrapati Shivaji Maharaj International,India,Dr. Babasaheb Ambedkar International,India,ATR 72-600,6,Regional,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,0
FLT-20250901-042,AI0522,2025-09-01,52,BLR,IXM,A320-200,2025-09-01 09:40:00,,2025-09-01 11:22:00,,,Cancelled,0,180,0.0,Monday,2025-09,9,Peak,,BLR-IXM,Bengaluru,South,Madurai,South,Kempegowda International,India,Madurai International,India,Airbus A320-200,8,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,0,1,0
FLT-20250901-043,AI0033,2025-09-01,3,DEL,MAA,A320neo,2025-09-01 15:15:00,2025-09-01 15:24:00,2025-09-01 17:48:00,2025-09-01 18:02:00,9.0,Operated,144,186,0.7742,Monday,2025-09,15,Off-Peak,1.0,DEL-MAA,Delhi,North,Chennai,South,Indira Gandhi International,India,Chennai International,India,Airbus A320neo,5,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-044,AI0374,2025-09-01,37,CCU,GAU,ATR72-600,2025-09-01 10:35:00,2025-09-01 10:55:00,2025-09-01 13:06:00,2025-09-01 13:31:00,20.0,Operated,61,72,0.8472,Monday,2025-09,10,Peak,0.0,CCU-GAU,Kolkata,East,Guwahati,East,Netaji Subhas Chandra Bose International,India,Lokpriya Gopinath Bordoloi International,India,ATR 72-600,6,Regional,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,0
FLT-20250901-045,AI0515,2025-09-01,51,DEL,PAT,B737-800,2025-09-01 09:25:00,2025-09-01 09:48:00,2025-09-01 11:00:00,2025-09-01 11:13:00,23.0,Operated,140,174,0.8046,Monday,2025-09,9,Peak,0.0,DEL-PAT,Delhi,North,Patna,East,Indira Gandhi International,India,Jay Prakash Narayan International,India,Boeing 737-800,10,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,0
FLT-20250901-046,AI0076,2025-09-01,7,DEL,GOI,A320-200,2025-09-01 13:20:00,2025-09-01 13:18:00,2025-09-01 15:10:00,2025-09-01 15:28:00,0.0,Operated,149,180,0.8278,Monday,2025-09,13,Off-Peak,1.0,DEL-GOI,Delhi,North,Goa,West,Indira Gandhi International,India,Manohar International,India,Airbus A320-200,8,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-047,AI0217,2025-09-01,21,BLR,HYD,E190-E2,2025-09-01 07:55:00,2025-09-01 08:09:00,2025-09-01 11:12:00,2025-09-01 11:23:00,14.0,Operated,111,114,0.9737,Monday,2025-09,7,Peak,1.0,BLR-HYD,Bengaluru,South,Hyderabad,South,Kempegowda International,India,Rajiv Gandhi International,India,Embraer E190-E2,2,Regional,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-048,AI0098,2025-09-01,9,DEL,AMD,B737 MAX 8,2025-09-01 05:25:00,2025-09-01 05:25:00,2025-09-01 07:45:00,2025-09-01 07:47:00,0.0,Operated,112,189,0.5926,Monday,2025-09,5,Off-Peak,1.0,DEL-AMD,Delhi,North,Ahmedabad,West,Indira Gandhi International,India,Sardar Vallabhbhai Patel International,India,Boeing 737 MAX 8,3,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-049,AI0391,2025-09-01,39,CCU,DEL,ATR72-600,2025-09-01 11:00:00,2025-09-01 11:07:00,2025-09-01 12:51:00,2025-09-01 13:12:00,7.0,Operated,59,72,0.8194,Monday,2025-09,11,Off-Peak,1.0,CCU-DEL,Kolkata,East,Delhi,North,Netaji Subhas Chandra Bose International,India,Indira Gandhi International,India,ATR 72-600,6,Regional,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-050,AI0182,2025-09-01,18,BOM,AMD,E190-E2,2025-09-01 17:15:00,2025-09-01 18:18:00,2025-09-01 20:17:00,2025-09-01 21:18:00,63.0,Operated,108,114,0.9474,Monday,2025-09,17,Peak,0.0,BOM-AMD,Mumbai,West,Ahmedabad,West,Chhatrapati Shivaji Maharaj International,India,Sardar Vallabhbhai Patel International,India,Embraer E190-E2,2,Regional,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,0
FLT-20250901-051,AI0043,2025-09-01,4,DEL,HYD,B737-800,2025-09-01 12:45:00,2025-09-01 12:45:00,2025-09-01 15:03:00,2025-09-01 15:03:00,0.0,Operated,128,174,0.7356,Monday,2025-09,12,Off-Peak,1.0,DEL-HYD,Delhi,North,Hyderabad,South,Indira Gandhi International,India,Rajiv Gandhi International,India,Boeing 737-800,10,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-052,AI0254,2025-09-01,25,BLR,CCU,ATR72-600,2025-09-01 09:15:00,2025-09-01 09:40:00,2025-09-01 12:41:00,2025-09-01 13:04:00,25.0,Operated,47,72,0.6528,Monday,2025-09,9,Peak,0.0,BLR-CCU,Bengaluru,South,Kolkata,East,Kempegowda International,India,Netaji Subhas Chandra Bose International,India,ATR 72-600,6,Regional,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,0
FLT-20250901-053,AI0145,2025-09-01,14,BOM,CCU,A321neo,2025-09-01 13:40:00,2025-09-01 13:54:00,2025-09-01 16:14:00,2025-09-01 16:27:00,14.0,Operated,208,220,0.9455,Monday,2025-09,13,Off-Peak,1.0,BOM-CCU,Mumbai,West,Kolkata,East,Chhatrapati Shivaji Maharaj International,India,Netaji Subhas Chandra Bose International,India,Airbus A321neo,4,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-054,AI0506,2025-09-01,50,DEL,IXC,A320neo,2025-09-01 11:10:00,2025-09-01 11:17:00,2025-09-01 13:45:00,2025-09-01 13:58:00,7.0,Operated,130,186,0.6989,Monday,2025-09,11,Off-Peak,1.0,DEL-IXC,Delhi,North,Chandigarh,North,Indira Gandhi International,India,Chandigarh International,India,Airbus A320neo,5,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-055,AI0097,2025-09-01,9,DEL,AMD,ATR72-600,2025-09-01 23:30:00,2025-09-01 23:38:00,2025-09-02 01:58:00,2025-09-02 02:19:00,8.0,Operated,37,72,0.5139,Monday,2025-09,23,Off-Peak,1.0,DEL-AMD,Delhi,North,Ahmedabad,West,Indira Gandhi International,India,Sardar Vallabhbhai Patel International,India,ATR 72-600,6,Regional,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-056,AI0268,2025-09-01,26,BLR,DEL,A320neo,2025-09-01 23:25:00,2025-09-01 23:33:00,2025-09-02 01:58:00,2025-09-02 02:05:00,8.0,Operated,140,186,0.7527,Monday,2025-09,23,Off-Peak,1.0,BLR-DEL,Bengaluru,South,Delhi,North,Kempegowda International,India,Indira Gandhi International,India,Airbus A320neo,5,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-057,AI0531,2025-09-01,53,MAA,IXM,A320neo,2025-09-01 12:30:00,2025-09-01 12:52:00,2025-09-01 15:10:00,2025-09-01 15:34:00,22.0,Operated,146,186,0.7849,Monday,2025-09,12,Off-Peak,0.0,MAA-IXM,Chennai,South,Madurai,South,Chennai International,India,Madurai International,India,Airbus A320neo,5,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,0
FLT-20250901-058,AI0022,2025-09-01,2,DEL,BLR,A330-300,2025-09-01 09:15:00,2025-09-01 09:21:00,2025-09-01 11:35:00,2025-09-01 11:57:00,6.0,Operated,197,300,0.6567,Monday,2025-09,9,Peak,1.0,DEL-BLR,Delhi,North,Bengaluru,South,Indira Gandhi International,India,Kempegowda International,India,Airbus A330-300,12,Wide-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-059,AI0203,2025-09-01,20,BLR,MAA,A321neo,2025-09-01 09:55:00,2025-09-01 10:07:00,2025-09-01 11:56:00,2025-09-01 12:17:00,12.0,Operated,171,220,0.7773,Monday,2025-09,9,Peak,1.0,BLR-MAA,Bengaluru,South,Chennai,South,Kempegowda International,India,Chennai International,India,Airbus A321neo,4,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-060,AI0284,2025-09-01,28,MAA,COK,ATR72-600,2025-09-01 12:40:00,2025-09-01 12:58:00,2025-09-01 15:03:00,2025-09-01 15:25:00,18.0,Operated,58,72,0.8056,Monday,2025-09,12,Off-Peak,0.0,MAA-COK,Chennai,South,Kochi,South,Chennai International,India,Cochin International,India,ATR 72-600,6,Regional,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,0
